	cls	score	score_best
spalsh	-1	0.00016494754688081475	0.00016494754688081475
a5	-1	0.0001647340829868115	0.0001647340829868115
snapped	-1	0.00016473306809488894	0.00016473306809488894
snake	-1	0.00016469034274468864	0.00016469034274468864
snag	-1	0.00016442667910009925	0.00016442667910009925
soindle	-1	0.00016410731123642596	0.00016410731123642596
snader	-1	0.00016401624413225115	0.00016401624413225115
smooth	-1	0.00016383247489659545	0.00016383247489659545
acctuator	-1	0.00016338843642738258	0.00016338843642738258
solve	-1	0.0001632355670498809	0.0001632355670498809
accs	-1	0.00016316179560716922	0.00016316179560716922
achieving	-1	0.00016308426243061847	0.00016308426243061847
according	-1	0.00016303203883903826	0.00016303203883903826
sort	-1	0.00016276260823914487	0.00016276260823914487
sorts	-1	0.0001626829234946126	0.0001626829234946126
spacer	-1	0.0001622663936581782	0.0001622663936581782
a75	-1	0.00016224565124894536	0.00016224565124894536
abd	-1	0.0001621605562824719	0.0001621605562824719
accept	-1	0.00016171743826840981	0.00016171743826840981
smashed	-1	0.0001614550008927719	0.0001614550008927719
sluggish	-1	0.00016145302106290583	0.00016145302106290583
sp	-1	0.00016143484258085262	0.00016143484258085262
smashing	-1	0.00016143484258085262	0.00016143484258085262
sounding	-1	0.00016113079974340255	0.00016113079974340255
smc	-1	0.00016101809883925072	0.00016101809883925072
acitvated	-1	0.00016087832941985743	0.00016087832941985743
sotck	-1	0.0001606567579812798	0.0001606567579812798
source	-1	0.00016046806619083776	0.00016046806619083776
stradle	-1	0.00016035023280340998	0.00016035023280340998
88	-1	0.00016009025216920765	0.00016009025216920765
stalling	-1	0.00015965715908065846	0.00015965715908065846
stalls	-1	0.0001595625191431424	0.0001595625191431424
stand	-1	0.0001595084010572418	0.0001595084010572418
751	-1	0.00015949030890784923	0.00015949030890784923
standstill	-1	0.00015944416457528739	0.00015944416457528739
701	-1	0.0001592136854755275	0.0001592136854755275
6v	-1	0.00015882452011243298	0.00015882452011243298
slowingbraking	-1	0.00015861401498598062	0.00015861401498598062
6th	-1	0.00015845956283147764	0.00015845956283147764
6mm	-1	0.00015838507080552782	0.00015838507080552782
6b	-1	0.0001582611771808331	0.0001582611771808331
6a	-1	0.00015811656197464247	0.00015811656197464247
76	-1	0.0001578272490360219	0.0001578272490360219
69	-1	0.00015776885251403275	0.00015776885251403275
steamer	-1	0.0001577422050268077	0.0001577422050268077
65	-1	0.0001577422050268077	0.0001577422050268077
62jpm	-1	0.00015759667422598922	0.00015759667422598922
623	-1	0.00015751533642069666	0.00015751533642069666
622	-1	0.00015722592769280334	0.00015722592769280334
sticcking	-1	0.00015710650462014267	0.00015710650462014267
stirpped	-1	0.00015705874697048548	0.00015705874697048548
60cycle	-1	0.0001568460671288571	0.0001568460671288571
60a	-1	0.00015657100027425156	0.00015657100027425156
602	-1	0.0001564969703158821	0.0001564969703158821
storage	-1	0.00015564563567039226	0.00015564563567039226
60	-1	0.00015554775675041016	0.00015554775675041016
acumulator	-1	0.00015546937243661688	0.00015546937243661688
6716	-1	0.00015543657463781667	0.00015543657463781667
stable	-1	0.00015525078339112896	0.00015525078339112896
sta	-1	0.00015525078339112896	0.00015525078339112896
762056	-1	0.00015512122964552187	0.00015512122964552187
85	-1	0.00015502301175466247	0.00015502301175466247
sludgeswarf	-1	0.00015498225305305587	0.00015498225305305587
83	-1	0.0001545573382520024	0.0001545573382520024
823	-1	0.0001545399004621328	0.0001545399004621328
sproket	-1	0.00015445558954609885	0.00015445558954609885
sprokets	-1	0.00015444488127391786	0.00015444488127391786
822	-1	0.0001541945153806319	0.0001541945153806319
square	-1	0.00015400483552448866	0.00015400483552448866
squarely	-1	0.00015390291314867674	0.00015390291314867674
squeal	-1	0.0001538916712584322	0.0001538916712584322
821	-1	0.00015383700710306167	0.00015383700710306167
820	-1	0.00015383700710306167	0.00015383700710306167
819	-1	0.0001535577123551665	0.0001535577123551665
818	-1	0.00015340675736407028	0.00015340675736407028
814	-1	0.0001533046695104421	0.0001533046695104421
810	-1	0.0001530405441823793	0.0001530405441823793
st7b	-1	0.00015289569650514778	0.00015289569650514778
763052	-1	0.00015280036447783756	0.00015280036447783756
